FID,roof,road,watr,conc,Veg,dry,irr,H,W
5575,0.795358242,0,0,0.030241758,0.096,0.0784,0,3.87136,4.752
5576,0.209656301,0,0,0.07188216,0.16,0.552307692,0.006153846,1.238461538,21.92307692
5577,0,0,0,0.9072,0.0128,0.08,0,0,30
5578,0,0,0,1,0,0,0,0,30
5579,0,0,0,1,0,0,0,0,30
5580,0,0,0,1,0,0,0,0,30
5581,0,0,0,1,0,0,0,0,30
5582,0,0,0.016,0.832,0.0352,0.1168,0,0,30
5583,0,0,0.312,0.0112,0.0672,0.6096,0,0,30
5584,0,0,0.3664,0,0.024,0.6048,0.0048,0,30
5585,0,0,0.647692308,0,0.023076923,0.266153846,0.063076923,0,30
5586,0.161107692,0,0.1744,0.040492308,0.3456,0.224,0.0544,1.37632,21.024
5587,0.332313043,0,0,0.117286957,0.352,0.1968,0.0016,2.12704,16.128
5588,0.485534591,0,0,0.114465409,0.3264,0.0736,0,2.84096,11.472
5589,0.281070677,0,0,0.194129323,0.3264,0.1984,0,1.73696,18.672
5590,0.169312878,0,0,0.142994815,0.47076923,0.209230769,0.007692308,1.365846154,21.09230769
5591,0.358297011,0,0,0.096102989,0.4832,0.0624,0,2.52448,13.536
5592,0.170929231,0,0,0.456270769,0.2016,0.1712,0,0.91264,24.048
5593,0.03648,0,0.0032,0.05472,0.2016,0.4976,0.2064,0.35328,27.696
5594,0,0,0,0.3792,0.4992,0.0944,0.0272,0,30
5595,0.003340081,0,0,0.065890688,0.563076924,0.301538462,0.066153846,0.077846154,29.49230769
5596,0.155028902,0,0,0.083371098,0.6304,0.112,0.0192,1.656,19.2
5597,0.085485714,0,0,0.077714286,0.7488,0.088,0,1.29536,21.552
5598,0.022186667,0,0,0.061013333,0.8416,0.0704,0.0048,0.61824,25.968
5599,0.25693401,0,0,0.09826599,0.5504,0.0944,0,2.0976,16.32
5600,0,0,0,0,0.836923077,0.158461538,0.004615385,1.188923077,22.24615385
5601,0.210176369,0,0,0.017023631,0.656,0.1168,0,2.36256,14.592
5602,0,0,0.0032,0,0.3296,0.5952,0.072,0.27968,28.176
5603,0,0,0.0016,0,0.4912,0.2592,0.248,0,30
5604,0,0,0,0.109230769,0.181538462,0.358461538,0.350769231,0,30
